,Product_name,Prices,Description,Reviews
0,SAMSUNG Crystal Vision 4K iSmart with Voice Assistant 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen T...,"₹44,990",Operating System: Google TVHD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Warranty,4.4
1,"LG UQ7550 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 Gen5 AI Processor 4K,...","₹33,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty,4.4
2,MOTOROLA 80 cm (32 inch) HD Ready LED Smart Google TV,"₹10,999",Operating System: Google TVFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Warranty,4.2
3,MOTOROLA EnvisionX 140 cm (55 inch) QLED Ultra HD (4K) Smart Google TV with Dolby Vision and Dolby Atm...,"₹30,999",Operating System: WebOSHD Ready 1366 x 768 PixelsLaunch Year: 20201 Year Product Warranty Applicable from the 1st Feb - 29th Feb'24,4.3
4,SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV 2023 Edition,"₹26,990",Operating System: Google TVHD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel,4.4
5,MOTOROLA EnvisionX 102 cm (40 inch) Full HD LED Smart Google TV with Inbuilt Box Speakers,"₹17,999",Operating System: TizenHD Ready 1366 x 768 PixelsLaunch Year: 20221 Year Comprehensive Warranty on Product and 1 Year Additional on Panel,4.2
6,MOTOROLA EnvisionX 109 cm (43 inch) Full HD LED Smart Google TV with Inbuilt Box Speakers,"₹19,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel,4.2
7,Mi X Pro 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision IQ | HDR...,"₹32,999",Operating System: AndroidUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Warranty on Product and 2 Years Warranty on Panel OEM Warranty activation starts from the date of delivery,4.3
8,MOTOROLA EnvisionX 165 cm (65 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers,"₹39,999",Operating System: WebOSHD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Product Warranty Applicable from the 1st Feb - 29th Feb'24,4.3
9,"LG UQ7550 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 Gen5 AI Processor 4K,...","₹46,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel,4.4
10,Mi X Pro 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision IQ | HDR...,"₹47,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel,4.3
11,SONY Bravia X75L 138.8 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition,"₹63,640",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty,4.6
12,Mi X Series 138 cm (55 inch) Ultra HD (4K) LED Smart Android TV 2022 Edition with 4K Dolby Vision | HD...,"₹36,999",Operating System: Google TVFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel,4.3
13,MOTOROLA EnvisionX 165 cm (65 inch) QLED Ultra HD (4K) Smart Google TV with Dolby Vision and Dolby Atm...,"₹41,999",Operating System: TizenUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel provided by the brand from the date of purchase,4.3
14,LG UR7500 126 cm (50 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 AI Processor 4K Gen6 ...,"₹44,990",Operating System: AndroidUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Warranty on Product and 2 Years Warranty on Panel OEM Warranty activation starts from the date of delivery,4.4
15,SONY Bravia 80 cm (32 inch) HD Ready LED Smart Google TV 2022 Edition,"₹24,999",Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Product Warranty Applicable from the 1st Feb - 29th Feb'24,4.6
16,MOTOROLA EnvisionX 140 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers,"₹29,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty,4.3
17,MOTOROLA EnvisionX 109 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers,"₹22,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty,4.3
18,SAMSUNG Crystal 4K Neo Series 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV 2022 Edition with Voic...,"₹43,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty,4.4
19,Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV 2022 Edition with HD Ready | Dolby Audio | DTS : X...,"₹16,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Comprehensive Warranty by the manufacture from the date of purchase | Contact Brand toll free number for assistance and provide product's model name and seller's details mentioned on your invoice The service center will allot you a convenient slot for the service,4.3
20,MOTOROLA Envision X 80 cm (32 inch) HD Ready LED Smart Google TV,"₹10,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel,4.2
21,LG UR7500 164 cm (65 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 AI Processor 4K Gen6 ...,"₹67,990",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on the Product,4.4
22,Mi 5A 108 cm (43 inch) Full HD LED Smart Android TV with Dolby Audio (2022 Model),"₹22,999",Operating System: TizenUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel,4.4
23,Mi X Pro 125 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision IQ | HDR...,"₹41,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Comprehensive Warranty,4.3
24,SAMSUNG Crystal Vision 4K iSmart with Voice Assistant 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen T...,"₹44,990",Operating System: Google TVFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel,4.4
25,"LG UQ7550 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 Gen5 AI Processor 4K,...","₹33,990",Operating System: TizenUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Comprehensive Warranty on Product and 1 Year Additional on Panel,4.4
26,MOTOROLA 80 cm (32 inch) HD Ready LED Smart Google TV,"₹10,999",Operating System: Google TVHD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Warranty,4.2
27,MOTOROLA EnvisionX 140 cm (55 inch) QLED Ultra HD (4K) Smart Google TV with Dolby Vision and Dolby Atm...,"₹30,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty,4.3
28,SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV 2023 Edition,"₹26,990",Operating System: TizenUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Comprehensive Warranty on Product and 1 Year Additional on Panel,4.4
29,MOTOROLA EnvisionX 102 cm (40 inch) Full HD LED Smart Google TV with Inbuilt Box Speakers,"₹17,999",Operating System: AndroidHD Ready 1366 x 768 PixelsLaunch Year: 20211 Year Warranty on Product and 2 Years Warranty on Panel OEM Warranty activation starts from the date of delivery,4.2
30,MOTOROLA EnvisionX 109 cm (43 inch) Full HD LED Smart Google TV with Inbuilt Box Speakers,"₹19,999",Operating System: Google TVFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Warranty,4.2
